timestamp,TimeUS,DesR,R,IR,IRErr,DesP,P,DesY,Y,ErrRP,ErrYaw
1526667330.18400002,29471540,0.0,1.05,0.0,9752.79785156,0.0,0.43,353.26,353.26,0.0,0.0
1526667330.28396010,29571500,0.0,1.08,0.0,9859.49804688,0.0,0.42,353.2,353.2,0.0,0.0
1526667330.38391995,29671460,0.0,1.11,0.0,9986.90917969,0.0,0.41,353.14,353.14,0.0,0.0
1526667330.48388004,29771420,0.0,1.13,0.0,10137.0341797,0.0,0.41,353.05,353.05,0.0,0.0
1526667330.58384013,29871380,0.0,1.15,0.0,10296.8447266,0.0,0.42,352.96,352.96,0.0,0.0
1526667330.68379998,29971340,0.0,1.17,0.0,10464.3632812,0.0,0.43,352.87,352.87,0.0,0.0
1526667330.78376007,30071300,0.0,1.18,0.0,10633.2324219,0.0,0.44,352.77,352.77,0.0,0.0
1526667330.88372016,30171260,0.0,1.21,0.0,10802.3925781,0.0,0.44,352.66,352.66,0.0,0.0
1526667330.98368001,30271220,0.0,1.23,0.0,10985.4443359,0.0,0.43,352.58,352.58,0.0,0.0
1526667331.08364010,30371180,0.0,1.24,0.0,11173.6533203,0.0,0.43,352.51,352.51,0.0,0.0
1526667331.18359995,30471140,0.0,1.23,0.0,11341.546875,0.0,0.41,352.44,352.44,0.0,0.0
1526667331.28356004,30571100,0.0,1.24,0.0,11493.2919922,0.0,0.39,352.37,352.37,0.0,0.0
1526667331.38352013,30671060,0.0,1.25,0.0,11648.6123047,0.0,0.38,352.3,352.3,0.0,0.0
1526667331.48347998,30771020,0.0,1.26,0.0,15819.5253906,0.0,0.37,352.25,352.25,0.0,0.0
1526667331.58344007,30870980,0.0,1.27,0.0,15866.7373047,0.0,0.38,352.21,352.21,0.0,0.0
1526667331.68340015,30970940,0.0,1.27,0.0,15954.1582031,0.0,0.39,352.2,352.2,0.0,0.0
1526667331.78336000,31070900,0.0,1.28,0.0,16021.7753906,0.0,0.41,352.2,352.2,0.0,0.0
1526667331.88332009,31170860,0.0,1.28,0.0,16094.2197266,0.0,0.42,352.18,352.18,0.0,0.0
1526667331.98327994,31270820,0.0,1.3,0.0,16191.8583984,0.0,0.42,352.19,352.19,0.0,0.0
1526667332.08324003,31370780,0.0,1.3,0.0,16293.0214844,0.0,0.43,352.21,352.21,0.0,0.07
1526667332.18320012,31470740,0.0,1.3,0.0,16368.8935547,0.0,0.42,352.26,352.26,0.0,0.08
1526667332.28399301,31571533,0.0,1.29,0.0,16425.7480469,0.0,0.39,352.35,352.35,0.0,0.08
1526667332.38395309,31671493,0.0,1.28,0.0,16434.421875,0.0,0.35,352.41,352.41,0.0,0.0
1526667332.48391294,31771453,0.0,1.27,0.0,16411.8730469,0.0,0.33,352.49,352.49,0.0,0.0
1526667332.58387303,31871413,0.0,1.24,0.0,16358.3935547,0.0,0.33,352.57,352.57,0.0,0.0
1526667332.68383312,31971373,0.0,1.19,0.0,16229.2402344,0.0,0.34,352.66,352.66,0.0,0.0
1526667332.78379297,32071333,0.0,1.14,0.0,16032.1269531,0.0,0.34,352.74,352.74,0.0,0.0
1526667332.88375306,32171293,0.0,1.13,0.0,15824.421875,0.0,0.34,352.83,352.83,0.0,0.0
1526667332.98371315,32271253,0.0,1.13,0.0,15633.4580078,0.0,0.34,352.94,352.94,0.0,0.0
1526667333.08367300,32371213,0.0,1.11,0.0,15449.4355469,0.0,0.34,353.07,353.07,0.0,0.0
1526667333.18363309,32471173,0.0,1.09,0.0,15259.7197266,0.0,0.32,353.2,353.2,0.0,0.0
1526667333.28359294,32571133,0.0,1.09,0.0,15081.8925781,0.0,0.31,353.31,353.31,0.0,0.0
1526667333.38355303,32671093,0.0,1.09,0.0,14921.8476562,0.0,0.29,353.42,353.42,0.0,0.0
1526667333.48351312,32771053,0.0,1.09,0.0,14777.0449219,0.0,0.28,353.52,353.52,0.0,0.0
1526667333.58347297,32871013,0.0,1.12,0.0,14661.6582031,0.0,0.28,353.63,353.63,0.0,0.0
